index_num,title,location,company,summary,salary,url
0,Research Analyst 4 (Early Intervention/Infant Learning Progr...,"Anchorage, AK",State of Alaska,"Data Management: Knowledge of the principles, procedures, and tools of data management, such as modeling techniques, data backup, data recovery, data…","$6,000 - $6,301 a month",https://indeed.com/rc/clk?jk=43a9acac93b4eec9&fccid=d8e73bc8caeb8a6c&vjs=3
1,Scientific Data Analyst,"Anchorage, AK 99513 (Fairview area)",CACI,"Analyzes data for reports, presentations and publications.Offer creative technical solutions to data and analysis problems and clearly articulate designed…",,https://indeed.com/rc/clk?jk=a9ceba7bbbdb959d&fccid=290a4498a64fc044&vjs=3
2,Clinical Data Analyst,"Kodiak, AK 99615",Kodiak Area Native Association,"Compile data to support grant reporting, accreditation procedures, KANA operational reports and any other ad hoc data requests.",,https://indeed.com/rc/clk?jk=ef80bfc0a32665e1&fccid=b02aef8c91e5bd61&vjs=3
3,Business Analyst,"Anchorage, AK 99503 (Midtown area)",Resource Data,You’ve been able to work with disparate business systems and system owners to facilitate data exchange and system integration within the business.,,https://indeed.com/rc/clk?jk=168be599095dd74b&fccid=9e1d7cf744d88921&vjs=3
4,Sr. Business Analyst,"Anchorage, AK 99503 (Midtown area)",Resource Data,You’ve attended a business analyst roundtable and understand the pragmatic approach we take when defining the business analyst role on projects.,,https://indeed.com/rc/clk?jk=e130f5972ce5193e&fccid=9e1d7cf744d88921&vjs=3
5,"Senior Business Analyst, Business Analyst or Junior Business...","Anchorage, AK",Alaska Communications Systems,"One (1) to three (3) year(s) of professional level information technology experience that includes System Analysis/Development, Relational Database experience…",,https://indeed.com/rc/clk?jk=846dc75ad408bda8&fccid=6ab89d929ef59f46&vjs=3
6,"Management and Program Analyst, GS-343-12 / 13","Kodiak, AK",US Department of Homeland Security,Utilizing a variety of automated systems to acquire raw data or data tables that are then analyzed based on the distribution of demographic elements such as…,"$77,488 - $146,120 a year",https://indeed.com/rc/clk?jk=44fd80c628f9effb&fccid=e3977494b2ebf993&vjs=3
7,Intern - Business Analyst - Production & Digital Studio,"Juneau, AK",Pearson,Assist with presenting data in a visually appealing way.Coordinate with team members and organizational partners to identify and resolve data issues for…,,https://indeed.com/rc/clk?jk=c6b42dad4080dadf&fccid=915b1c0ee87e5e8a&vjs=3
8,Board Certified Behavior Analyst,"Anchorage, AK 99503 (Midtown area)",A Beautiful Mind Behavior Services,Analyzes data/behavior and makes decisions based on data.Directs implementation of insurance goals and data collection system.Leads client’s parent meetings.,"$90,000 - $120,000 a year",https://indeed.com/company/A-Beautiful-Mind-Behavior-Services/jobs/Board-Certified-Behavior-Analyst-8ea2e01462e7b7cb?fccid=7ad8d0f36916dcc3&vjs=3
9,Dutch Speaker-with basic data anlytics skills(Jr.data analys...,United States,Pactera Technologies,Help to prepare good quality data.Creating sample data and records in foreign language(Dutch).Preparing training data for machine learning model in *foreign…,$20 an hour,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BXoFhA4iqjAkDeXstmuxPnHoV-0KVyHbzy2t8uJL3YSBrOKCoR7CjtcVinu3uI8nbkg_xtfTPUyoIgw8LyzLob6FblPuFz9gnUkGNnHBaIPzpkAfgGi3wManKb9lWgmQRdLzAKyE5UCVKDtNc934lXHpa1YJzsThwgUr4h_HXokiEFI6XR6BCzl3aCzUm5d8wnbUzGw1mZOuR8moSyEJjirFzgjq5yeLkLaXqIliB5dnQnZw8V91i6KqMmY__QuYZkA3syOAkJPq48vsWDaWjCushYX6O8vWPLKB3TYDe1VwVggCEdcqWP07QZkOIzgootHRAIKqRoEAAGptYayw9Bs8IkuOuBFi783--6ugkUtfLnTN9yUQuMIponVDoP7A5BE1pbbr7X7uM1tBYglECHX3ELTnEtJG3c0i3Nih4FQmt3wQXF4TsIMr_plG2J9O7tdjVoxr1AZPmZJIZQRu0WipDhGyOnbjXhKaF4lejBu0-g53BS0rs-&p=9&fvj=1&vjs=3
10,Behavior Analyst (BCBA),"Anchorage, AK 99518 (Taku-Campbell area)","Hope Community Resources, Inc.","Ensures and oversees implementation of the treatment plan and ensures that all needed documentation is completed, including daily billing notes by this person…","$63,128 - $75,754 a year",https://indeed.com/rc/clk?jk=c2e80c28163612ac&fccid=e908c00dbb73e36f&vjs=3
